training_seed,eval_seed,case_id,order_index,method,success,path_length,expanded_nodes,runtime_ms,runtime_p95_ms,timing_repeats
1234,2026,58,1,iA*,1,37.79898452758789,33,20.456,23.1573,5
1234,2026,58,2,A*,1,37.79898452758789,33,9.2237,10.51024,5
1234,2026,59,0,iA*,1,31.899492263793945,30,19.9794,21.84338,5
1234,2026,59,1,A*,1,31.899492263793945,30,9.3216,9.49062,5
1234,2026,59,2,Neural A*,1,34.38477325439453,39,14.6839,15.23758,5
1234,2026,60,0,A*,1,32.45584487915039,26,7.545,8.42164,5
1234,2026,60,1,Neural A*,1,34.698486328125,27,10.9829,12.14938,5
1234,2026,60,2,iA*,1,32.45584487915039,26,19.347,20.40408,5
1234,2026,61,0,Neural A*,1,38.11269760131836,32,12.0561,12.2798,5
1234,2026,61,1,iA*,1,38.112701416015625,30,20.3555,22.80852,5
1234,2026,61,2,A*,1,38.11269760131836,30,8.3491,9.71718,5
1234,2026,62,0,iA*,1,29.55634880065918,26,24.2528,48.61942,5
1234,2026,62,1,A*,1,29.55634880065918,26,7.985,8.52854,5
1234,2026,62,2,Neural A*,1,30.384775161743164,30,11.4249,12.28612,5
1234,2026,63,0,A*,1,41.21320343017578,36,10.6676,11.42802,5
1234,2026,63,1,Neural A*,1,43.698486328125,44,15.7766,16.02108,5
1234,2026,63,2,iA*,1,41.21320343017578,36,20.3932,22.1305,5
1234,2026,64,0,Neural A*,1,35.62741470336914,30,10.6244,11.3909,5
1234,2026,64,1,iA*,1,33.38477325439453,29,19.4412,20.10888,5
1234,2026,64,2,A*,1,33.38477325439453,29,8.2974,8.45064,5
1234,2026,65,0,iA*,1,30.21320343017578,53,25.9943,27.25824,5
1234,2026,65,1,A*,1,28.55634880065918,62,18.4535,18.98806,5
1234,2026,65,2,Neural A*,1,31.87005615234375,56,19.9887,21.28072,5
1234,2026,66,0,A*,1,23.55635070800781,20,6.3474,7.26786,5
1234,2026,66,1,Neural A*,1,31.21320343017578,39,13.9524,14.49896,5
1234,2026,66,2,iA*,1,23.556346893310547,20,18.4183,20.19568,5
1234,2026,67,0,Neural A*,1,40.87005615234375,53,18.5547,20.26274,5
1234,2026,67,1,iA*,1,40.87005615234375,34,21.1896,23.008460000000003,5
1234,2026,67,2,A*,1,40.87005615234375,34,9.4425,9.88122,5
1234,2026,68,0,iA*,1,47.284271240234375,100,38.5205,41.76728,5
1234,2026,68,1,A*,1,46.11269760131836,164,44.3447,44.85208,5
1234,2026,68,2,Neural A*,1,49.42640686035156,79,23.8157,24.67536,5
1234,2026,69,0,A*,1,33.041629791259766,27,7.9583,8.27366,5
1234,2026,69,1,Neural A*,1,34.698486328125,27,10.1879,10.61806,5
1234,2026,69,2,iA*,1,33.041629791259766,27,18.3688,18.94414,5
1234,2026,70,0,Neural A*,1,34.041629791259766,36,12.9886,13.54156,5
1234,2026,70,1,iA*,1,29.21320152282715,24,17.8331,18.61522,5
1234,2026,70,2,A*,1,29.21320343017578,24,6.796,7.198320000000001,5
1234,2026,71,0,iA*,1,38.79899215698242,74,31.7414,32.9631,5
1234,2026,71,1,A*,1,38.79898452758789,141,37.1099,39.39314,5
1234,2026,71,2,Neural A*,1,44.59797668457031,114,34.3006,34.79408,5
1234,2026,72,0,A*,1,38.11269760131836,30,7.6923,9.0121,5
1234,2026,72,1,Neural A*,1,38.94112777709961,30,10.5566,11.37016,5
1234,2026,72,2,iA*,1,38.11269760131836,30,18.8266,19.68718,5
1234,2026,73,0,Neural A*,1,32.87005615234375,29,10.9389,11.32696,5
1234,2026,73,1,iA*,1,27.21320152282715,22,16.1869,17.11008,5
1234,2026,73,2,A*,1,27.21320343017578,22,6.7639,7.349699999999999,5
1234,2026,74,0,iA*,1,33.3847770690918,29,18.3412,19.28206,5
1234,2026,74,1,A*,1,33.3847770690918,29,7.9186,9.64658,5
1234,2026,74,2,Neural A*,1,37.87005615234375,46,16.1254,16.556179999999998,5
