case_id,method,success,path_length,expanded_nodes,runtime_ms
63,iA*,1,41.21320343017578,36,16.3369
64,A*,1,33.38477325439453,29,5.5001
64,Neural A*,1,35.62741470336914,30,7.4294
64,iA*,1,33.38477325439453,29,13.5991
65,A*,1,28.55634880065918,62,11.7423
65,Neural A*,1,31.87005615234375,56,12.5674
65,iA*,1,30.21320152282715,54,18.2182
66,A*,1,23.556350708007812,20,4.1426
66,Neural A*,1,31.21320343017578,39,9.7065
66,iA*,1,23.556346893310547,20,13.2719
67,A*,1,40.87005615234375,34,7.8457
67,Neural A*,1,40.87005615234375,53,11.4371
67,iA*,1,40.87005615234375,34,15.0523
68,A*,1,46.11269760131836,164,30.9909
68,Neural A*,1,49.42640686035156,79,16.3792
68,iA*,1,46.698486328125,105,28.3206
69,A*,1,33.041629791259766,27,6.2637
69,Neural A*,1,34.698486328125,27,6.6338
69,iA*,1,33.041629791259766,27,15.5629
70,A*,1,29.21320343017578,24,6.0977
70,Neural A*,1,34.041629791259766,36,10.0415
70,iA*,1,29.21320152282715,24,13.1636
71,A*,1,38.79898452758789,141,27.3017
71,Neural A*,1,44.59797668457031,114,22.8991
71,iA*,1,38.798988342285156,77,23.6739
72,A*,1,38.11269760131836,30,5.9254
72,Neural A*,1,38.94112777709961,30,7.3503
72,iA*,1,38.11269760131836,30,13.6193
73,A*,1,27.21320343017578,22,4.7236
73,Neural A*,1,32.87005615234375,29,7.319
73,iA*,1,27.21320152282715,22,13.7214
74,A*,1,33.3847770690918,29,5.8973
74,Neural A*,1,37.87005615234375,46,12.5589
74,iA*,1,33.38477325439453,29,14.1938
75,A*,1,33.72792053222656,31,6.2936
75,Neural A*,1,37.87005615234375,39,9.1859
75,iA*,1,33.72792053222656,31,14.0299
76,A*,1,31.62741470336914,120,23.4675
76,Neural A*,1,34.941123962402344,81,18.0575
76,iA*,1,32.45584487915039,104,28.8995
77,A*,1,34.28427505493164,27,6.1647
77,Neural A*,1,35.11269760131836,27,7.1801
77,iA*,1,34.28427505493164,27,14.8684
78,A*,1,51.941123962402344,329,62.1228
78,Neural A*,1,56.08326721191406,247,48.187
78,iA*,1,53.112693786621094,273,60.2978
79,A*,1,27.485280990600586,29,5.6645
79,Neural A*,1,29.142133712768555,26,7.7417
79,iA*,1,27.485279083251953,26,16.0923
80,A*,1,41.21320343017578,134,26.5898
80,Neural A*,1,46.18376541137695,104,22.1975
80,iA*,1,41.21320343017578,89,26.7398
81,A*,1,61.94112777709961,405,75.6818
81,Neural A*,1,65.25483703613281,219,42.5665
81,iA*,1,61.94112777709961,210,52.1787
82,A*,1,26.313709259033203,24,4.9986
82,Neural A*,1,27.970561981201172,24,6.8763
82,iA*,1,26.313709259033203,24,13.1887
83,A*,1,18.0,19,3.719
83,Neural A*,1,22.14213752746582,19,5.138
83,iA*,1,18.0,19,12.6177
84,A*,1,28.384777069091797,24,5.3833
84,Neural A*,1,30.041629791259766,24,7.8484
84,iA*,1,28.384777069091797,24,13.5887
85,A*,1,38.94112777709961,30,5.6588
85,Neural A*,1,39.76955032348633,31,7.8914
85,iA*,1,38.94112777709961,30,14.2469
86,A*,1,32.38477325439453,28,5.3344
86,Neural A*,1,34.041629791259766,30,7.5426
86,iA*,1,32.3847770690918,28,14.3535
87,A*,1,53.87005615234375,339,61.5142
87,Neural A*,1,57.18376541137695,228,43.6076
87,iA*,1,53.87005615234375,228,52.6685
88,A*,1,32.455841064453125,26,5.0778
88,Neural A*,1,33.284271240234375,26,7.5227
88,iA*,1,32.455841064453125,26,14.9844
89,A*,1,20.485279083251953,19,4.6218
89,Neural A*,1,21.313709259033203,19,5.6605
89,iA*,1,20.485280990600586,19,12.2823
90,A*,1,52.3553352355957,299,55.7976
90,Neural A*,1,57.325904846191406,205,40.6964
90,iA*,1,52.94112777709961,239,53.8929
91,A*,1,32.48528289794922,120,22.9345
91,Neural A*,1,43.35533905029297,162,33.2663
91,iA*,1,34.14213562011719,104,30.6498
92,A*,1,36.698486328125,29,5.979
92,Neural A*,1,37.526912689208984,30,7.453
92,iA*,1,36.698486328125,29,15.6302
93,A*,1,15.242639541625977,15,3.3686
93,Neural A*,1,18.556350708007812,15,4.941
93,iA*,1,15.242639541625977,15,11.836
94,A*,1,39.45584487915039,33,6.9223
94,Neural A*,1,40.284271240234375,33,8.9822
94,iA*,1,39.45584487915039,33,14.6686
95,A*,1,36.14213562011719,33,6.2131
95,Neural A*,1,39.45584487915039,39,9.101
95,iA*,1,36.14213180541992,33,14.7791
96,A*,1,37.72792434692383,41,7.8245
96,Neural A*,1,41.0416259765625,59,13.1277
96,iA*,1,38.55635070800781,39,15.8835
97,A*,1,41.45584487915039,84,16.512
97,Neural A*,1,43.112701416015625,73,16.2966
97,iA*,1,44.284271240234375,61,20.27
98,A*,1,30.89949607849121,29,6.0969
98,Neural A*,1,34.213199615478516,31,9.0506
98,iA*,1,30.899494171142578,29,15.4017
99,A*,1,30.142133712768555,136,24.8087
99,Neural A*,1,35.11269760131836,112,24.4184
99,iA*,1,30.14213752746582,114,30.306
